Company Name,Date,Rating Type,Agency,Curr Rtg,Last Rtg,Ctry,Industry Type,Security Name
Argentine Republic,10/2/2006,Foreign Currency LT Debt,S&P,B+ ,B ,AR,Sovereigns,1310Z AR Equity
Argentine Republic,8/11/2008,Foreign Currency LT Debt,S&P,B ,B+ ,AR,Sovereigns,1310Z AR Equity
Argentina Government Bond,12/20/2001,Foreign Currency LT Debt,Moody's,Ca ,Caa3 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,7/13/2001,Foreign Currency LT Debt,Moody's,B3 *-,B2 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,6/4/2001,Foreign Currency LT Debt,Moody's,B2 ,B2 *-,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,7/26/2001,Foreign Currency LT Debt,Moody's,Caa1 ,B3 *-,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,8/20/1999,Foreign Currency LT Debt,Moody's,Ba3 *-,Ba3 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,1/22/1996,Foreign Currency LT Debt,Moody's,B1 ,B2 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,10/2/1997,Foreign Currency LT Debt,Moody's,Ba3 ,B1 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,7/13/1992,Foreign Currency LT Debt,Moody's,B1 ,B3 ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,8/6/1993,Foreign Currency LT Debt,Moody's,B2 ,B1 ,AR,Sovereigns,EC009480 Corp
Argentina Bocon,10/6/1999,Foreign Currency LT Debt,Moody's,B1 ,Ba3 *-,AR,Sovereigns,EC114521 Corp
Argentina Bocon,10/2/1997,Foreign Currency LT Debt,Moody's,Ba3 ,B1 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,7/13/1992,Foreign Currency LT Debt,Moody's,B1 ,B3 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,1/22/1996,Foreign Currency LT Debt,Moody's,B1 ,B2 ,AR,Sovereigns,EC114521 Corp
Argentina Bonar Bonds,12/20/2001,Foreign Currency LT Debt,Moody's,Ca ,Caa3 ,AR,Sovereigns,EG358129 Corp
Argentina Bocon,8/6/1993,Foreign Currency LT Debt,Moody's,B2 ,B1 ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,9/10/1991,Foreign Currency LT Debt,Moody's,B3 ,WR ,AR,Sovereigns,EC114521 Corp
Argentina Bocon,8/15/1990,Foreign Currency LT Debt,Moody's,WR ,B3 ,AR,Sovereigns,EC114521 Corp
Argentina Bonar Bonds,10/12/2001,Foreign Currency LT Debt,Moody's,Caa3 ,Caa1 ,AR,Sovereigns,EG358129 Corp
Argentina Treasury Bill,7/13/2001,Foreign Currency LT Debt,Moody's,B3 *-,B2 ,AR,Sovereigns,EC501930 Corp
Argentina Bonar Bonds,7/26/2001,Foreign Currency LT Debt,Moody's,Caa1 ,Caa1 ,AR,Sovereigns,EG358129 Corp
Argentina Government Bond,10/12/2001,Foreign Currency LT Debt,Moody's,Caa3 ,Caa1 ,AR,Sovereigns,EC009480 Corp
Argentina Treasury Bill,12/20/2001,Foreign Currency LT Debt,Moody's,Ca ,Caa3 ,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,10/12/2001,Foreign Currency LT Debt,Moody's,Caa3 ,Caa1 ,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,7/26/2001,Foreign Currency LT Debt,Moody's,Caa1 ,B3 *-,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,3/28/2001,Foreign Currency LT Debt,Moody's,B2 *-,B1 ,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,6/4/2001,Foreign Currency LT Debt,Moody's,B2 ,B2 *-,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,2/10/1999,Foreign Currency LT Debt,Moody's,Ba3 ,Ba3 *-,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,10/6/1999,Foreign Currency LT Debt,Moody's,B1 ,Ba3 *-,AR,Sovereigns,EC501930 Corp
Argentina Treasury Bill,8/20/1999,Foreign Currency LT Debt,Moody's,Ba3 *-,Ba3 ,AR,Sovereigns,EC501930 Corp
Argentina Government Bond,10/6/1999,Foreign Currency LT Debt,Moody's,B1 ,Ba3 *-,AR,Sovereigns,EC009480 Corp
