"year","iso2c","agency","ratings","ratings_prior","GDPpercap","GDPgrowth","inflation_cpi","inflation_def","development","export","currentaccount","budget","ext_debt","currency_debt","country","current_account_WEO","fiscal_balance_WEO","def_indicator","spreadCDS","GNIpercap","lag_GNIpercap","lag_export","lag_currentaccount","lag_ext_debt","lag_currency_debt","lag_current_account_WEO","ma_GDPgrowth","ma_fiscal_balance_WEO","ma_budget","ma_inflation_cpi","ma_inflation_def","lag_cds","development_indicator_port","external_debt","dev_min","development_indicator_wb"
2006,"AR","Moody's","Caa1 ","B3 *-",264489701813.206,8.36392440358115,NA,15.2838496675547,NA,54040472232.6853,2.93661339052263,NA,1.0675e+11,119063654000,"Argentina",2.726,-0.854,1,273.775395256917,5579,NA,46595960333.6572,2.36589097973412,1.2925e+11,128185988000,2.127,4.04265456707611,-2.49866666666667,-1.60719717241749,NA,9.68053164686792,NA,0,277.384560967274,10065,0
2006,"CZ","S&P","A- ","A ",155213120558.221,6.87654427048483,2.52810499704177,0.721512239949789,NA,101341176557.366,-2.01682428955855,-3.88180538451515,51939550000,NA,"Czech Republic",-2.109,-2.363,0,8.72794117647059,13920,12380,84741941430.8025,-0.889483248410007,45100825000,NA,-0.93,4.15962768549547,-4.254,-3.60874238750371,1.59371687786099,1.73427495265608,NA,0,53.2213733111459,10065,1
2006,"LB","S&P","B- ","B- *-",21796351575.4561,1.60277316490152,NA,0.774885395004503,NA,7994693200.66335,-5.1217881907222,-11.2611789275062,NA,25118741000,"Lebanon",-7.257,-10.682,0,394.340106382979,5620,5740,8050414593.69818,-12.9089505580537,NA,23333604000,-13.746,4.19810254715998,-10.7886666666667,-9.98492352203197,NA,-0.81100484206473,NA,0,NA,10065,0
2006,"ZA","Moody's",NA,NA,261007039378.852,5.60371769264749,4.64162489421274,6.52761311561964,NA,78317824613.9885,-5.26607344104975,0.910139174458618,5.8009e+10,59381328000,"South Africa",-5.307,0.732,1,53.4289534883721,5420,4810,67643778942.0634,-3.44804500740984,47691250000,44736852000,-3.469,4.11214310774961,-1.14233333333333,-1.60192717612241,3.54788723180616,5.78893264444982,NA,0,70.5035270735648,10065,0
2006,"IT","Moody's","Aa2 ","Aa3 ",1943430740490.23,2.00641188425459,2.06978661049546,1.89929715627611,NA,509487135794.7,-2.46100841504315,-2.33722440401036,1.9725e+12,NA,"Italy",-1.467,-3.411,0,11.27368359375,34210,32390,456700492463.811,-1.60477408098963,1.685e+12,NA,-0.837,0.734066608557065,-3.90166666666667,-3.03837673217937,2.29691884502204,2.53154113800247,NA,0,368.950773604327,10065,1
2006,"HK","Moody's","Aa3 ","A1 *+",193536265094.364,7.03269473413648,2.10876803551609,-0.534884937703524,NA,390557558124.565,12.6876656289856,3.80290431176751,4.9875e+11,NA,"Hong Kong SAR, China",12.693,3.868,0,12.0384615384615,30290,28890,353429724968.82,11.8822692390083,4.445e+11,NA,11.881,5.20033360328314,-0.115333333333333,-1.79138357089566,-0.683358072593191,-3.24956096002708,NA,0,125.76757657812,10065,1
2006,"PE","Moody's",NA,NA,87985689388.3792,7.5288168435015,2.00225801248818,8.29191681605342,NA,26371170336.3914,3.264722983894,1.91920430051195,28378845636.75,29294246000,"Peru",3.325,2.026,1,156.199968992248,2780,2530,19917179611.6505,1.53088556483317,29718696122.75,29508454000,1.558,5.21551638737965,-1.035,-1.28929019826434,2.51271755772617,3.56300902466586,NA,0,149.211367785056,10065,0
2006,"AT","Moody's",NA,NA,334292246560.363,3.35083069097276,1.44961845101615,1.90863611408751,NA,169926184101.722,2.70484453469586,-1.54028099880666,6e+11,NA,"Austria",2.78,-1.675,0,3.68774193548387,41260,38500,153012448390.787,1.98481590158559,5.1325e+11,NA,2.044,1.81460915935892,-2.67466666666667,-2.77927406605506,1.90717838488786,1.89029879049668,NA,0,335.430225055404,10065,1
2006,"DE","S&P",NA,NA,2998466393955.9,3.7100032770191,1.57742924103124,0.299227681180184,NA,1236506723508.71,5.80053191026553,-1.24341059325579,3.9825e+12,NA,"Germany",5.967,-1.653,0,4.42040585774059,38380,35880,1079807740138.29,4.68126887223542,3.68e+12,NA,4.828,0.294371366610569,-3.74766666666667,-2.23503708151406,1.41562341174938,0.975236947583422,NA,0,340.801409659159,10065,1
2006,"HR","Moody's","Baa3 ","Baa3 ",50436294494.5014,4.78519068675942,3.21421635268979,3.99718820752524,NA,20004625029.977,-6.36700174583622,-1.51713269731725,35642816883,NA,"Croatia",-6.67,-1.77,1,36.3628255813953,10990,9870,17846601223.6939,-5.41649249772539,29898282505.5,NA,-5.265,4.76275828752067,-3.64233333333333,-3.02719614297242,2.37295105269927,3.72217791347734,NA,0,167.529279837361,10065,1
2006,"AR","S&P","B+ ","B ",264489701813.206,8.36392440358115,NA,15.2838496675547,NA,54040472232.6853,2.93661339052263,NA,1.0675e+11,119063654000,"Argentina",2.726,-0.854,1,273.775395256917,5579,NA,46595960333.6572,2.36589097973412,1.2925e+11,128185988000,2.127,4.04265456707611,-2.49866666666667,-1.60719717241749,NA,9.68053164686792,NA,0,277.384560967274,10065,0
2006,"JP","Moody's","Aaa ","Aa1 ",4356749775546.81,1.6929042449114,0.24066390041429,-1.12143218754557,NA,704556190623.482,4.00925022089608,-0.86783359352026,1.5175e+12,NA,"Japan",4.006,-3.65,0,4.99629032258064,38600,39140,654355563471.836,3.72108378465069,1.475e+12,NA,3.721,1.4095296076023,-6.18266666666667,-4.05891610091625,-0.0378639469947,-1.43945791771301,NA,0,225.412616983654,10065,1
