agency,country,iso2c,year,ratings
Moody's,Israel,IL,2010,A1
Moody's,Israel,IL,2011,A1
Moody's,Israel,IL,2012,A1
Moody's,Iraq,IQ,2007,NA
Moody's,Iraq,IQ,2009,NA
Moody's,Italy,IT,2006,Aa2
Moody's,Italy,IT,2007,Aa2
Moody's,Italy,IT,2008,Aa2
Moody's,Italy,IT,2009,Aa2
Moody's,Italy,IT,2010,Aa2
Moody's,Italy,IT,2011,A2
Moody's,Italy,IT,2012,A3
Moody's,Japan,JP,2006,Aaa
Moody's,Japan,JP,2007,Aaa
Moody's,Japan,JP,2008,Aaa
Moody's,Japan,JP,2009,Aaa
Moody's,Japan,JP,2010,Aaa
Moody's,Japan,JP,2011,Aaa
Moody's,Japan,JP,2012,Aaa
Moody's,"Korea, Rep.",KR,2006,A3
Moody's,"Korea, Rep.",KR,2007,A2
Moody's,"Korea, Rep.",KR,2008,A2
Moody's,"Korea, Rep.",KR,2009,A2
Moody's,"Korea, Rep.",KR,2010,A1
Moody's,"Korea, Rep.",KR,2011,A1
Moody's,"Korea, Rep.",KR,2012,Aa3
Moody's,Kazakhstan,KZ,2006,Baa2
Moody's,Kazakhstan,KZ,2007,WR
Moody's,Kazakhstan,KZ,2008,WR
Moody's,Kazakhstan,KZ,2009,WR
Moody's,Kazakhstan,KZ,2010,WR
Moody's,Kazakhstan,KZ,2011,WR
Moody's,Kazakhstan,KZ,2012,WR
Moody's,Lebanon,LB,2006,B3
Moody's,Lebanon,LB,2007,B3
Moody's,Lebanon,LB,2008,B3
Moody's,Lebanon,LB,2009,B2
Moody's,Lebanon,LB,2010,B1
Moody's,Lebanon,LB,2011,B1
Moody's,Lebanon,LB,2012,B1
Moody's,Lithuania,LT,2006,A2
Moody's,Lithuania,LT,2007,A2
Moody's,Lithuania,LT,2008,A2
Moody's,Lithuania,LT,2009,Baa1
Moody's,Lithuania,LT,2010,Baa1
Moody's,Lithuania,LT,2011,Baa1
Moody's,Lithuania,LT,2012,Baa1
Moody's,Latvia,LV,2006,A2
Moody's,Latvia,LV,2007,A2
Moody's,Latvia,LV,2008,A3
Moody's,Latvia,LV,2009,Baa1
Moody's,Latvia,LV,2010,Baa1
Moody's,Latvia,LV,2011,Baa1
Moody's,Latvia,LV,2012,Baa1
Moody's,Mexico,MX,2006,Baa1
Moody's,Mexico,MX,2007,Baa1
Moody's,Mexico,MX,2008,Baa1
Moody's,Mexico,MX,2009,Baa1
Moody's,Mexico,MX,2010,Baa1
Moody's,Mexico,MX,2011,Baa1
Moody's,Mexico,MX,2012,Baa1
Moody's,Malaysia,MY,2006,A3
Moody's,Malaysia,MY,2007,A3
Moody's,Malaysia,MY,2008,A3
Moody's,Malaysia,MY,2009,A3
Moody's,Malaysia,MY,2010,A3
Moody's,Malaysia,MY,2011,A3
Moody's,Malaysia,MY,2012,A3
Moody's,Netherlands,NL,2008,Aaa
Moody's,Netherlands,NL,2009,Aaa
Moody's,Netherlands,NL,2010,Aaa
Moody's,Netherlands,NL,2011,Aaa
Moody's,Netherlands,NL,2012,Aaa
Moody's,Norway,NO,2009,Aaa
Moody's,Norway,NO,2010,Aaa
Moody's,Norway,NO,2011,Aaa
Moody's,Norway,NO,2012,Aaa
Moody's,New Zealand,NZ,2009,Aaa
Moody's,New Zealand,NZ,2010,Aaa
Moody's,New Zealand,NZ,2011,Aaa
Moody's,New Zealand,NZ,2012,Aaa
Moody's,Panama,PA,2006,Ba1
Moody's,Panama,PA,2007,Ba1
Moody's,Panama,PA,2008,Ba1
Moody's,Panama,PA,2009,Ba1
Moody's,Panama,PA,2010,Baa3
Moody's,Panama,PA,2011,Baa3
Moody's,Panama,PA,2012,Baa2
Moody's,Peru,PE,2006,Ba3
Moody's,Peru,PE,2007,Ba2
Moody's,Peru,PE,2008,Ba1
Moody's,Peru,PE,2009,Baa3
Moody's,Peru,PE,2010,Baa3
Moody's,Peru,PE,2011,Baa3
Moody's,Peru,PE,2012,Ba2
Moody's,Philippines,PH,2006,B1
Moody's,Philippines,PH,2007,B1
Moody's,Philippines,PH,2008,B1
