"agency","iso2c","year","country","ratings.x","ratings_prior","lag_cds","lag_GNIpercap","ma_GDPgrowth","ma_inflation_cpi","ma_inflation_def","lag_currentaccount","lag_current_account_WEO","ma_budget","ma_fiscal_balance_WEO","external_debt","ext_debt_2","lag_export","dflt","port","dvlp_port","dvlp_wb","ratings.y","ratings"
"Moody's","BE",2009,"Belgium",NA,NA,14.7712907257869,46530,2.11948235276694,2.70108660840596,2.25920578966663,-1.36694605884239,-1.315,-0.543119097053555,-0.280333333333333,426.240466138434,NA,413498984732.148,0,6.3390730146,1,1,"Aa1","Aa1"
"Moody's","BE",2010,"Belgium",NA,NA,36.647149506119,45980,0.991346855946142,2.0863891485843,1.79995142092356,-0.594757387830649,-0.639,-2.22105903343433,-2.265,454.704920589738,NA,336481953618.544,0,6.400146575,1,1,"Aa1","Aa1"
"Moody's","BE",2011,"Belgium","Aa3 ","Aa1 *-",72.2791762452108,47200,0.959031078345952,2.20842584464834,1.69978773036844,1.74813141735693,1.925,-3.04742450114369,-3.55166666666667,368.254907994175,NA,369309402394.037,0,6.5,1,1,"Aa3","Aa3"
"Moody's","BE",2012,"Belgium","Aa3 ","Aa1 *-",133.526806483938,47130,0.618514312782822,1.88907633017584,1.79792026545634,-1.03426153202295,-1.115,-3.78521617483518,-4.52966666666667,336.033322287665,NA,430016877541.386,0,6.3,1,1,"Aa3","Aa3"
"Moody's","BG",2006,"Bulgaria","Baa3 ","Ba1 *+",NA,3700,5.58810037208574,4.51402790497115,4.54788943575815,-11.4229748865575,-11.635,1.63710911230319,1.304,137.799347850348,18507345000,12703276793.0881,1,NA,0,0,"Baa3","Baa3"
"Moody's","BG",2007,"Bulgaria","Baa3 ","Ba1 *+",33.1981550387597,4150,6.08564408321021,6.21552999672635,6.08655828149282,-17.4243525082199,-17.555,2.63434443652872,2.41466666666667,146.579985428391,28007277000,16150904251.9079,1,3.58175102084677,0,0,"Baa3","Baa3"
"Moody's","BG",2008,"Bulgaria","Baa3 ","Ba1 *+",31.153848673226,4720,6.47319624298284,6.90098120009853,8.21288851604107,-26.2108365223269,-25.202,3.19513603875011,2.95066666666667,149.577971668613,43822452000,23261186760.8985,1,3.66757972605383,1,0,"Baa3","Baa3"
"Moody's","BG",2009,"Bulgaria","Baa3 ","Ba1 *+",101.425909411494,5940,6.27194304839861,9.33762405038196,8.7059767323914,-22.2733238901293,-23.039,3.12824580775554,3.15433333333333,178.836626933339,52632220000,28590550444.9929,1,3.6202260766,1,0,"Baa3","Baa3"
"Moody's","BG",2010,"Bulgaria","Baa3 ","Ba1 *+",211.688618349668,6420,3.53013632085263,7.83481044175338,7.82358257006741,-8.48526564920202,-8.926,2.03905560847893,1.73733333333333,241.308991985613,55374943000,21963726451.9798,1,3.7872191459,1,0,"Baa3","Baa3"
"Moody's","BG",2011,"Bulgaria","Baa2 ","Baa3 *+",289.438958252272,6630,2.07636798232426,5.84697839230188,4.51384387841137,-1.63621625983186,-1.479,-0.166550962859223,-0.682333333333333,185.679381798101,50318058000,26836187220.7933,1,3.8,1,0,"Baa2","Baa2"
"Moody's","BG",2012,"Bulgaria","Baa2 ","Baa3 *+",302.820006930621,6870,0.845023176995335,3.13735551925969,4.13389366778802,0.237899557679416,0.102,-1.81072720778919,-2.298,143.580866450583,47174930000,35488179879.1326,1,3.7,1,0,"Baa2","Baa2"
"Moody's","BH",2009,"Bahrain",NA,NA,NA,20830,6.94376989086595,2.93004649494425,9.54760737264164,8.77785214276865,8.778,4.42314775812329,2.727,NA,NA,21231608846.9026,0,5.5494788366,1,1,"A2","A2"
"Moody's","BH",2010,"Bahrain",NA,NA,340.995916083916,18730,5.88647822596682,3.19272755526946,2.26884518792595,2.44120789825821,2.442,1.4897504196115,0.0856666666666665,NA,NA,15704954308.0246,0,5.8397259785,1,1,"A3","A3"
"Moody's","BR",2006,"Brazil","Ba2 ","Ba3 *+",NA,3960,3.16824815876679,9.39393341798212,9.65856365707462,1.58522808039399,1.585,-3.26251024924075,-3.903,154.72783691764,188364548000,133460147904.684,1,NA,0,0,"Ba2","Ba2"
"Moody's","BR",2007,"Brazil","Ba1 ","Ba2 *+",143.709251968504,4800,3.49310840939782,5.88338498634467,7.13355184213955,1.25091981330949,1.252,-2.77811623768649,-3.369,119.519000875292,194303020000,156460477941.176,1,2.63247411629852,0,0,"Ba1","Ba1"
"Moody's","BR",2008,"Brazil","Ba1 ","Ba2 *+",117.157849922476,6100,4.73028488750541,4.89601934849827,6.4096561216338,0.113459018722247,0.113,-2.78333959032843,-3.335,126.732959018421,238444455000,182667556879.462,1,2.51819277818452,0,0,"Ba1","Ba1"
"Moody's","BR",2009,"Brazil","Baa3 ","Ba1 *+",141.679704019564,7480,4.5941304121489,4.4946023281845,6.783640007981,-1.70498202006024,-1.705,-1.98820615916067,-2.667,116.633107729739,262951108000,225922128912.64,1,2.6486275202,0,0,"Baa3","Baa3"
