"year","iso2c","agency","ratings","ratings_prior","GDPpercap","GDPgrowth","inflation_cpi","inflation_def","development","export","currentaccount","budget","ext_debt","currency_debt","country","current_account_WEO","fiscal_balance_WEO","def_indicator","spreadCDS","GNIpercap"
1990,"AT","S&P",NA,NA,166062376739.683,4.34564157586416,3.26232214448601,2.99968041218987,NA,59423125378.1919,NA,NA,NA,NA,"Austria",0.706,-2.413,0,NA,20560
1990,"AU","Moody's",NA,NA,310944978838.015,3.52912895654107,7.27226005396373,6.12147049457728,NA,47071950750.2886,NA,NA,NA,NA,"Australia",-4.842,0.286,0,NA,17340
1990,"AU","S&P",NA,NA,310944978838.015,3.52912895654107,7.27226005396373,6.12147049457728,NA,47071950750.2886,NA,NA,NA,NA,"Australia",-4.842,0.286,0,NA,17340
1990,"AW","Moody's",NA,NA,NA,NA,5.83668775158166,NA,NA,NA,NA,NA,NA,NA,"Aruba",NA,NA,0,NA,NA
1990,"AW","S&P",NA,NA,NA,NA,5.83668775158166,NA,NA,NA,NA,NA,NA,NA,"Aruba",NA,NA,0,NA,NA
1990,"AZ","Moody's",NA,NA,8858006035.91566,NA,NA,NA,NA,3885196371.82385,NA,NA,NA,NA,"Azerbaijan",NA,NA,0,NA,NA
1990,"AZ","S&P",NA,NA,8858006035.91566,NA,NA,NA,NA,3885196371.82385,NA,NA,NA,NA,"Azerbaijan",NA,NA,0,NA,NA
1990,"B8","Moody's",NA,NA,264565361607.414,NA,NA,NA,NA,88252309720.6446,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1990,"B8","S&P",NA,NA,264565361607.414,NA,NA,NA,NA,88252309720.6446,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1990,"BA","Moody's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,1,NA,NA
1990,"BA","S&P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,1,NA,NA
1990,"BB","Moody's",NA,NA,2023318164.38209,-4.8067918611163,3.0745727107802,24.7407424539741,NA,867846628.806718,NA,NA,NA,NA,"Barbados",-1.833,NA,0,NA,6810
1990,"BB","S&P",NA,NA,2023318164.38209,-4.8067918611163,3.0745727107802,24.7407424539741,NA,867846628.806718,NA,NA,NA,NA,"Barbados",-1.833,NA,0,NA,6810
1990,"BD","Moody's",NA,NA,30128776344.9379,5.94130714246796,6.12671846981463,6.33559719119468,NA,1844504546.76413,NA,NA,NA,12285289000,"Bangladesh",-2.701,-0.183,0,NA,290
