"iso2c","country","year","agency","rating","CDS","GNI_cap","GDP_grw","inf","ext_bal","fsc_bal","ext_dbt","def","dev"
"CN","China",2012,"Moodys",13,99.8104118623103,4900,9.64893533993822,2.6741421452248,1.85876820968857,-0.815666666666667,0.33985784446102,0,0
"CO","Colombia",2007,"Moodys",5,142.83107751938,3430,5.16384129064967,5.08304258703119,-1.78852199049253,-0.756666666666667,134.464246646735,0,0
"CO","Colombia",2008,"Moodys",5,128.248381671568,4060,5.90943022860065,4.96273450784229,-2.89556441955367,-0.617666666666667,126.91590627601,0,0
"CO","Colombia",2009,"Moodys",5,158.934846755404,4640,5.46287593318244,5.61235937890614,-2.64728019636324,-5.68238090179488,105.423295721481,0,0
"CO","Colombia",2010,"Moodys",5,194.54827988997,5050,4.69912426104728,5.58122593643945,-1.98860717793045,-6.36054774421336,132.314161509177,0,0
"CO","Colombia",2011,"Moodys",7,202.275438255231,5480,4.01769562280533,4.4927146774837,-3.01923116158784,-5.7579944713608,129.06383840811,0,0
"CO","Colombia",2012,"Moodys",7,173.382113896257,6100,3.93991658784507,3.29758979585374,-2.89586008142866,-4.22028473026677,113.21465505857,0,0
"CY","Cyprus",2009,"Moodys",13,90.9423076923077,28870,4.19810879616698,3.17917958529962,-15.3134745197761,3.95229844024071,796.509427390464,0,1
"CY","Cyprus",2010,"Moodys",13,109.543911764706,28820,2.8040781220691,2.47191460012286,-10.534373213864,0.626525408879937,1371.24853458382,0,1
"CY","Cyprus",2011,"Moodys",9,129.541107843137,28280,2.09774990941699,2.47483647321058,-9.98251648634412,-3.19266676064643,1390.16557236654,0,1
"CZ","Czech Republic",2007,"Moodys",12,8.72794117647059,13920,5.46702634279239,2.40051561303529,-2.01682428955855,-3.4124631535218,51.2521679384674,0,1
"CZ","Czech Republic",2008,"Moodys",12,8.92802828054299,15740,5.94888229160013,2.43390639010501,-4.20520462957127,-2.91206492067775,52.2164336404881,0,1
"CZ","Czech Republic",2009,"Moodys",12,31.5061547146748,18300,5.38975711961507,3.93551158560163,-2.02959686302086,-2.23239849064157,60.5266964911414,0,1
"CZ","Czech Republic",2010,"Moodys",12,76.2112234593043,18650,2.56874522084066,3.44108054856557,-2.35694324999917,-2.83249557415759,70.3536828755214,0,1
"CZ","Czech Republic",2011,"Moodys",12,103.691479420593,19210,1.42338157501855,2.93483869970968,-3.6721028568702,-3.86802549882894,66.2430144423019,0,1
"CZ","Czech Republic",2012,"Moodys",12,114.991464537735,19380,0.532009942012827,1.46330631968822,-2.68961821748068,-4.81871553041013,61.9061772129877,0,1
"DE","Germany",2007,"Moodys",16,4.42040585774059,38380,1.21918345690681,1.59669202800885,5.80053191026553,-1.93354086744247,322.076695927642,0,1
"DE","Germany",2008,"Moodys",16,4.76155735925004,40730,2.21675610946763,1.80756019217772,6.92998219201549,-1.2719990459282,321.618219524291,0,1
"DE","Germany",2009,"Moodys",16,9.79753004277873,43910,2.18461438656453,2.1680509628996,5.80554525214769,-0.646846469287833,342.04628525823,0,1
"DE","Germany",2010,"Moodys",16,21.5590921927626,43810,0.59848550767359,1.74648712353293,5.90502686903341,-0.948796126135237,404.137148513884,0,1
"DE","Germany",2011,"Moodys",16,33.7864331727649,44780,0.693676517941785,1.34830978369382,5.72650930915612,-1.86783383863022,361.01388611076,0,1
"DE","Germany",2012,"Moodys",16,49.9535311130759,46410,0.773730842087928,1.16390640494838,6.05315418305971,-1.88631071775824,336.216802013067,0,1
"DK","Denmark",2009,"Moodys",16,70.4896913580247,60260,1.58505843120212,2.3345264689056,2.83624566087251,4.63232604936221,322.208479800036,0,1
"DK","Denmark",2010,"Moodys",16,66.1971681279919,59840,-0.296182961945281,2.14662610090541,3.36717475518933,2.16618935188943,404.661157375669,0,1
"DK","Denmark",2011,"Moodys",16,57.3477851376907,60820,-0.839085384713228,2.34119237042087,5.68540395461876,-0.30763924910864,380.477583843235,0,1
"DK","Denmark",2012,"Moodys",16,59.1626380183491,61470,-0.757154136103853,2.1269015281683,5.81984307161058,-2.19017266874129,337.246952741108,0,1
"EE","Estonia",2007,"Moodys",NA,9.5,11400,8.46040865711816,3.85589216575031,-15.2462540200005,2.20757956912131,137.292616967224,0,1
"EE","Estonia",2008,"Moodys",NA,8.76190476190476,13410,8.56549399699947,5.03908112809921,-15.7599893088324,2.45224736921383,156.640656316075,0,1
"EE","Estonia",2009,"Moodys",NA,156.655568086884,14870,5.61409548320594,7.13105216414155,-9.16473662713564,1.05870556246645,171.867209426434,0,1
"EE","Estonia",2010,"Moodys",NA,284.000516443691,14290,-0.438051307443875,5.6261550430033,2.84449504148367,-0.292782991437707,210.013194090197,0,1
"EE","Estonia",2011,"Moodys",NA,318.929366394088,14390,-2.42202133138187,4.41880228789438,2.00676861025746,-1.23906288779296,152.983865200339,0,1
"EE","Estonia",2012,"Moodys",NA,207.242598393005,15610,-2.32832598589464,2.62280620626225,0.230478003420561,-0.170599504717286,124.073718749924,0,1
"EG","Egypt, Arab Rep.",2007,"Moodys",6,103.055666666667,1390,4.65027725354664,7.92818091534539,2.45189902733927,-6.40930138550688,91.0509915114055,0,0
"EG","Egypt, Arab Rep.",2008,"Moodys",6,92.0797671568629,1620,5.62387042589982,7.27763082399217,0.315455921052632,-6.05843862679598,78.6962850676598,0,0
"EG","Egypt, Arab Rep.",2009,"Moodys",6,127.482002963332,1950,6.38992341208961,11.7601090621417,-0.868821887213847,-6.02908284582786,62.2119930297398,0,0
"EG","Egypt, Arab Rep.",2010,"Moodys",6,216.892131618303,2240,6.44038724753333,13.1330987266017,-1.77226560880829,-5.82723848389552,68.8734402988755,0,0
"FI","Finland",2008,"Moodys",16,5.3208,46010,3.98650261261149,1.64613070840768,5.20504505168334,4.2651586679514,258.999783776542,0,1
"FI","Finland",2009,"Moodys",16,22.5811911392405,49880,3.18515544742201,2.7144281841799,3.15091794453443,4.6935236000056,273.238753081544,0,1
"FI","Finland",2010,"Moodys",16,28.5700854207403,48570,0.422907551949216,2.19220596195768,2.66936241965221,2.63935426709463,416.595051428601,0,1
"FI","Finland",2011,"Moodys",16,37.3513321640353,49320,0.157192564979403,1.75897733959692,2.39886806556544,0.0497866484686202,430.650863573784,0,1
"FI","Finland",2012,"Moodys",16,41.4072457236078,49900,-0.496303203291447,1.54259646523519,-0.617038420902519,-1.62634652390093,484.745767125363,0,1
"FR","France",2007,"Moodys",16,3.03091796875,37960,1.89715412327322,1.85139609680981,-0.558659919884734,-2.72610088155785,564.648216272437,0,1
"FR","France",2008,"Moodys",16,3.48548772000718,40250,2.28264592452272,1.63579568653885,-0.999276298648035,-2.36486622271713,620.135687883766,0,1
"FR","France",2009,"Moodys",16,9.85408272242902,43510,1.63486358900655,1.99523834063515,-1.70602738711625,-2.38512316787686,645.720040891887,0,1
"FR","France",2010,"Moodys",16,22.9036017647742,43760,0.497599870891325,1.4633575803803,-1.31565553762342,-4.02903423413666,772.274762910248,0,1
"FR","France",2011,"Moodys",16,45.4985187507256,43790,0.395277489615822,1.47721286502633,-1.27448828662999,-5.53950182788446,730.428004985661,0,1
"FR","France",2012,"Moodys",15,81.7560624570194,44220,0.324710065895037,1.24507012009949,-1.71927763528853,-6.30704595318397,704.211871473787,0,1
"GB","United Kingdom",2009,"Moodys",16,38.065597826087,46870,2.01805821457796,2.75602086488812,-1.47425470858678,-3.21448564369079,1353.77678041102,0,1
"GB","United Kingdom",2010,"Moodys",16,62.1067662599823,42650,0.238768436382156,2.70025539087609,-1.60466338278084,-5.8062867238422,1436.96512290114,0,1
"GB","United Kingdom",2011,"Moodys",16,67.0341669246443,40470,-0.0439103336408439,3.02181484778865,-3.12421342052066,-8.10701975206313,1321.69889409277,0,1
"GB","United Kingdom",2012,"Moodys",16,79.3769481180319,40090,-0.271539373319461,3.31206176747205,-1.2641532521548,-9.01688253659439,1217.16035577241,0,1
"GR","Greece",2007,"Moodys",12,12.7019607843137,24290,4.57414791895322,3.21328899620488,-10.819271434187,-6.02930471168658,530.707521217046,1,1
"GR","Greece",2008,"Moodys",12,11.1790534690799,26110,3.79907667468305,3.21200667973681,-13.9917535540578,-5.84877637210897,557.15604254893,1,1
"GR","Greece",2009,"Moodys",11,33.4731202614379,28330,2.44982492246488,3.41458111644567,-14.4694473028405,-7.20658312481544,616.082308174153,1,1
"GR","Greece",2010,"Moodys",6,87.8504884615383,29060,1.12836154133268,2.75262377646595,-10.8879753954059,-10.3711477085488,888.503582166111,1,1
"HK","Hong Kong SAR, China",2009,"Moodys",14,12.0384615384615,33950,5.753403661062,2.77656069958011,14.990925631291,3.64772998051455,158.364412378133,0,1
"HK","Hong Kong SAR, China",2010,"Moodys",15,64.9212403846154,32350,3.2915746810955,2.27813699857987,9.88365417398452,2.74441753724896,167.291221035905,0,1
"HK","Hong Kong SAR, China",2011,"Moodys",15,59.5450583945549,33620,3.22531451373987,2.40509587686428,7.00330281044084,0.859633752158651,157.826376886856,0,1
"HR","Croatia",2007,"Moodys",7,36.3628255813953,10990,4.64743732685839,2.86096240004342,-6.36700174583622,-2.39616125290994,178.17288166906,1,1
"HR","Croatia",2008,"Moodys",7,32.9848243291592,12350,4.54548130324046,3.13175841503223,-7.20530585279017,-1.65590144388454,192.127667671789,1,1
"HR","Croatia",2009,"Moodys",7,79.9164092696325,13960,4.03805630111384,4.05532173849855,-8.62567589058648,-1.14350564016894,206.313779363797,1,1
"HR","Croatia",2010,"Moodys",7,173.624360998911,13800,1.1511828267117,3.78283573468074,-4.8812582132232,-1.65181632233337,282.024283601311,1,1
"HR","Croatia",2011,"Moodys",7,247.446104519886,13740,-0.470399066985953,3.17467417706245,-1.50904333598544,-2.75630635417287,270.125103727564,1,1
"HR","Croatia",2012,"Moodys",7,310.883935828667,14040,-1.82826161925605,1.894124465181,-0.650652696571213,-4.02334483285163,258.955535741178,1,1
"HU","Hungary",2007,"Moodys",11,37.4438745098039,11250,4.19757560635102,4.73636015401723,-7.10705173029022,-7.2795412195544,140.17047075483,0,1
"HU","Hungary",2008,"Moodys",10,33.667216782461,11780,3.38080862419698,5.12137652085846,-7.18003515670767,-6.87214867101666,144.805342991963,0,1
"HU","Hungary",2009,"Moodys",9,88.835520992229,13150,2.4031159571438,5.95982613386005,-6.98121721940971,-5.68110749818395,168.538996633357,0,1
"HU","Hungary",2010,"Moodys",7,190.692726271458,13220,-0.299555925908011,6.0701186237201,-0.766992761043886,-4.21378788667368,242.789983600758,0,1
"HU","Hungary",2011,"Moodys",6,277.602008629841,13050,-1.09301280289527,5.05223069065296,0.267271758884697,-3.74486872232702,211.080684447663,0,1
"HU","Hungary",2012,"Moodys",6,341.091762928483,13020,-0.769181249308713,4.34926738327369,0.812072551463877,-1.31927147275541,182.702292540603,0,1
"ID","Indonesia",2007,"Moodys",4,174.630533898305,1390,5.25119153893275,9.93496427475007,2.97870828539984,-0.589463027453129,115.119368147725,0,0
"ID","Indonesia",2008,"Moodys",4,156.033537377168,1610,5.64235481518191,9.98960678581125,2.42762232069447,-0.590627379298739,109.254309942322,0,0
"ID","Indonesia",2009,"Moodys",5,230.37793261042,1950,5.88806222895002,9.76448297934581,0.0246123767036759,-0.660374806625011,99.9374436952245,0,0
"ID","Indonesia",2010,"Moodys",5,295.685288488507,2160,5.62213719863213,6.99918599338818,1.96977140684082,-1.00936147231244,124.081597470921,0,0
"ID","Indonesia",2011,"Moodys",6,305.830327433933,2500,5.80286279748718,6.57428814012983,0.72537413526015,-1.00344101986192,108.992925442027,0,0
"ID","Indonesia",2012,"Moodys",7,235.956671878377,2920,5.83801545080752,5.10125960971815,0.199197650103907,-1.67170729035619,98.9903042422255,0,0
"IE","Ireland",2009,"Moodys",15,8.70639285714286,51150,3.36672163764839,4.29077523522555,-5.5882732961644,-1.27254127544087,1133.01819001557,0,1
"IE","Ireland",2010,"Moodys",9,104.770131575015,46120,0.355502479945043,1.48449777401672,-2.14152493248002,-6.59183571367915,1246.76517771331,0,1
"IE","Ireland",2011,"Moodys",6,250.791444724988,43760,-1.08091380754878,-0.457532594092453,1.06149849807143,-16.4896436152177,1132.72770835742,0,1
"IE","Ireland",2012,"Moodys",6,409.333279622106,42060,-1.62077724866219,-0.949077870156986,1.1892780055609,-18.3739369933426,1018.20330535511,0,1
"IL","Israel",2007,"Moodys",11,34.6481530612245,22110,4.06228497824009,1.00902829782206,4.4985507495076,-4.07667122423932,134.373383035109,0,1
"IL","Israel",2008,"Moodys",12,30.346194177671,23770,5.3598488025817,1.31696290586954,3.12756165093222,-2.64112513362764,123.308677787477,0,1
"IL","Israel",2009,"Moodys",12,55.6851605628917,25970,4.97173777882895,2.40725363450673,1.48723426708723,-2.23376655158714,108.670056835569,0,1
"IL","Israel",2010,"Moodys",12,100.316703481878,27210,4.36305462007,2.81085813523869,3.85657304270287,-3.56369114508927,127.754301233877,0,1
"IL","Israel",2011,"Moodys",12,132.128166717172,29480,4.35566733060056,3.53847716497253,3.37236166565041,-4.73529803429078,122.280992138712,0,1
"IL","Israel",2012,"Moodys",12,150.284181001651,31170,3.83656944565336,3.15905153430051,1.51715700970563,-5.03122874916368,118.673390650876,0,1
"IT","Italy",2007,"Moodys",14,11.27368359375,34210,1.17297266672593,2.09469085244207,-2.46100841504315,-2.78698606672328,387.154034208005,0,1
"IT","Italy",2008,"Moodys",14,10.3721463945762,35820,1.50336524074072,1.96343235385335,-2.34005985763544,-2.40933584051258,395.974724207451,0,1
"IT","Italy",2009,"Moodys",14,28.1486368120704,37770,0.845074451148629,2.42209175503707,-2.73330195778634,-1.97031738001429,416.490177204162,0,1
"IT","Italy",2010,"Moodys",14,61.5777167380364,37690,-0.762655417744188,1.98221261066969,-1.79791051734996,-2.81483012910417,518.203980622351,0,1
"IT","Italy",2011,"Moodys",11,114.327171399595,37690,-0.836625351231392,1.8883622100054,-3.29598397658444,-3.60302688983807,452.113776095737,0,1
"IT","Italy",2012,"Moodys",10,194.758570645447,37690,-1.05845636791071,1.67716026095728,-2.88819663814326,-3.99350920257321,413.587098768093,0,1
"JP","Japan",2007,"Moodys",16,4.99629032258064,38600,1.7603685561075,-0.013574162484062,4.00925022089608,-2.46337484721826,215.383814690085,0,1
"JP","Japan",2008,"Moodys",16,4.75048801843317,37660,1.88713718378999,0.00850157841547624,4.86040285215219,-2.45443341111065,209.219745296759,0,1
"JP","Japan",2009,"Moodys",16,11.976789234511,37870,1.03654564681559,0.55736856867813,2.93071933118408,-2.08364586606779,242.767314322192,0,1
"JP","Japan",2010,"Moodys",16,31.6937870930858,37610,-0.670880511420627,0.0282409675279569,2.89322516660649,-4.3202837598434,333.596729502568,0,1
"JP","Japan",2011,"Moodys",16,54.907776094879,42190,0.0689009659288277,-0.231003499379892,3.95877474608424,-5.75677025638381,283.373695470229,0,1
"JP","Japan",2012,"Moodys",16,80.2766362059901,45190,-0.592326801969188,-0.783277939963003,2.13755317203345,-7.51095421086201,322.09226591441,0,1
"KR","Korea, Rep.",2007,"Moodys",11,25.0045423076923,19980,4.23321999526929,2.8623777105758,0.352758163772524,0.674815817972205,54.314945784166,0,1
"KR","Korea, Rep.",2008,"Moodys",11,25.1779184406679,22460,4.8657697539157,2.51015237772494,1.05057034512467,1.36628389004318,66.3761689170083,0,1
"KR","Korea, Rep.",2009,"Moodys",11,72.1065346856362,22850,4.34811049162223,3.15012944571023,0.318264708886129,1.58828829498007,70.4483850525117,0,1
"KR","Korea, Rep.",2010,"Moodys",12,132.987278565192,21090,3.54406825234989,3.32188789854375,3.72458123223616,1.23590158406,76.1306669432502,0,1
"KR","Korea, Rep.",2011,"Moodys",12,159.184755086621,21320,3.87423104912452,3.46239294641873,2.63594491813047,1.02455537802537,65.7704955436225,0,1
"KR","Korea, Rep.",2012,"Moodys",13,145.01221893815,22620,3.42880569384606,3.23762125439272,1.55146477105736,1.08056610619259,58.8504586279976,0,1
"KZ","Kazakhstan",2007,"Moodys",NA,62.9405546558704,3860,9.82499999975899,7.68428998012744,-2.4533498532101,0.220952798303098,143.187559497309,0,0
"KZ","Kazakhstan",2008,"Moodys",NA,74.2677636560602,4980,9.72499999971335,8.97982876741561,-7.96962523278665,6.24733333333333,176.684628411501,0,0
"KZ","Kazakhstan",2009,"Moodys",NA,171.144957424453,6150,8.14999999985795,12.1704734700157,4.69219562367079,4.672,135.684926079964,0,0
"KZ","Kazakhstan",2010,"Moodys",NA,351.253395278181,6780,6.02499999990842,11.7423195469247,-3.55846020700387,1.678,226.456199961573,0,0
"KZ","Kazakhstan",2011,"Moodys",NA,387.871718495329,7440,5.17499999994893,10.5247004953085,0.953024709842563,0.456333333333333,173.657932761033,0,0
"KZ","Kazakhstan",2012,"Moodys",NA,333.202147909793,8190,4.825000000127,7.59024575751727,5.42264329625827,2.03133333333333,138.821604501184,0,0
"LB","Lebanon",2007,"Moodys",1,394.340106382979,5620,3.75532670140039,-1.07641820504715,-5.1217881907222,-9.32160772109887,3.14192682189678,0,0
"LB","Lebanon",2008,"Moodys",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LB","Lebanon",2009,"Moodys",2,462.498894126205,6840,5.70181934581503,3.78723837150114,-14.230590481052,-10.9257517044068,2.1281666963094,0,0
"LB","Lebanon",2010,"Moodys",3,462.893427459538,7720,7.60146227301724,1.18764945336656,-19.1832851757782,-9.90018312012304,2.06898360682272,0,0
"LB","Lebanon",2011,"Moodys",3,417.266563954454,8440,9.19979055143931,2.5887454586908,-19.8686159139267,-8.64228625369897,1.78419347331184,0,0
"LB","Lebanon",2012,"Moodys",3,359.513468296334,9020,7.34991547713675,2.5887454586908,-12.1230170155622,-7.3975085262531,1.70587486396035,0,0
"LT","Lithuania",2007,"Moodys",11,8,8840,8.311131884024,2.52327390019774,-10.6397175915319,-0.743656397139675,89.9785463722894,0,0
"LT","Lithuania",2008,"Moodys",11,8.24390243902439,10520,8.20941154206446,4.03958135394928,-14.4749471761761,-0.412407954362715,117.528508167,0,1
"LT","Lithuania",2009,"Moodys",9,155.683272678648,12600,7.1035777942485,6.80089753028926,-13.3006542415726,-1.27852574706383,119.012366781069,0,1
"LT","Lithuania",2010,"Moodys",9,323.770693974944,12320,1.46759142202478,7.03122428506763,3.94721848370731,-4.24293091692876,156.803526833845,0,1
"LT","Lithuania",2011,"Moodys",9,410.577940597955,12260,-0.161067435108092,5.56588761100743,0.0404580090978291,-6.4421886933707,123.322344225748,0,1
"LT","Lithuania",2012,"Moodys",9,348.536658219712,13050,-1.12101792264012,3.30119490029619,-1.43702906112842,-7.1312077038734,98.3387049925852,0,1
